uf,ano,deforestation_soma,mining_soma,focos_ativos
AC,2006,16398368.684747167,0.0,6198.0
AC,2007,16398368.684747173,0.0,8549.0
AC,2008,16398368.684747174,0.0,5699.0
AC,2009,16398368.684747197,0.0,3511.0
AC,2010,16398368.684747145,0.0,8661.0
AC,2011,16398368.684747169,0.0,3191.0
AC,2012,16398368.684747167,0.0,4720.0
AC,2013,16398368.6847471,0.0,4980.0
AC,2014,16398368.684747089,0.0,4398.0
AC,2015,16398368.684747014,0.0,5779.0
AC,2016,16398368.684746988,0.0,7684.0
AC,2017,16398368.684747051,0.0,6295.0
AC,2018,16398368.684747128,0.0,6626.0
AC,2019,16398368.684747253,0.0,6802.0
AM,2006,165994754.65324414,9249.798595922743,11697.0
AM,2007,165994754.65324423,9217.736423797523,11293.0
AM,2008,165994754.65324423,9431.222740679861,6701.0
AM,2009,165994754.6532442,9631.776389703133,9280.0
AM,2010,165994754.6532443,9532.758740307545,12139.0
AM,2011,165994754.6532443,9722.350715978964,5028.0
AM,2012,165994754.65324432,9995.736030438093,9114.0
AM,2013,165994754.65324455,10224.965292169276,6512.0
AM,2014,165994754.65324453,10248.80108961192,9007.0
AM,2015,165994754.65324447,10621.485555609232,13419.0
AM,2016,165994754.65324444,10830.056287005691,11173.0
AM,2017,165994754.6532444,10848.594643090926,11685.0
AM,2018,165994754.6532445,11117.065755615315,11446.0
AM,2019,165994754.65324435,11057.490346112136,12676.0
AP,2006,22682082.46592787,3364.303358441156,1665.0
AP,2007,22682082.465927865,3864.5137852416947,1484.0
AP,2008,22682082.465927847,4235.750325286861,2153.0
AP,2009,22682082.465927854,4403.438897064199,2456.0
AP,2010,22682082.465927847,4565.233656439194,1000.0
AP,2011,22682082.46592779,4721.566891479493,1396.0
AP,2012,22682082.46592784,4931.793366998302,2518.0
AP,2013,22682082.465927824,5149.895995501692,1529.0
AP,2014,22682082.4659278,5413.025157519527,1848.0
AP,2015,22682082.465927828,5580.627203594978,2936.0
AP,2016,22682082.465927877,6052.20756032715,2595.0
AP,2017,22682082.46592788,6155.264073223874,1946.0
AP,2018,22682082.46592792,6320.357297637921,1206.0
AP,2019,22682082.46592786,6400.271874462885,1277.0
MA,2006,33507023.142932452,2797.548467785636,23302.0
MA,2007,34347137.52955765,2916.741229052726,44765.0
MA,2008,34347137.529557645,3030.784349652096,22122.0
MA,2009,34411939.94112488,3261.2105801696753,19132.0
MA,2010,34411939.94112486,3413.330291448972,36277.0
MA,2011,34411939.941124864,3467.8813149230973,19315.0
MA,2012,34411939.941124916,3657.093119146731,34299.0
MA,2013,34411939.94112491,3791.5018809875455,17455.0
MA,2014,34411939.94112487,4043.433422656241,24675.0
MA,2015,34411939.941124864,4054.5520384338342,28436.0
MA,2016,34411939.94112487,4252.969239367669,21789.0
MA,2017,34411939.941124834,4568.917973089603,25576.0
MA,2018,34411939.94112477,4703.781413409423,13892.0
MA,2019,34411939.941124745,5225.189130841062,18521.0
MT,2006,98387023.70342462,44367.58908708485,43479.0
MT,2007,98387023.70342466,45010.86966668688,79968.0
MT,2008,98387023.70342468,45267.864816448804,29448.0
MT,2009,98387023.70342477,45829.519812798826,15059.0
MT,2010,98387023.70342472,46757.5037290769,59013.0
MT,2011,98387023.70342472,48082.02171513651,17371.0
MT,2012,98387023.70342457,49698.946349645696,27953.0
MT,2013,98387023.70342419,51567.93591099828,18554.0
MT,2014,98387023.70342422,52784.05910336889,24955.0
MT,2015,98387023.70342441,54376.01658497297,27741.0
MT,2016,98387023.7034244,55849.52041054661,27305.0
MT,2017,98387023.70342441,57553.75527113007,30911.0
MT,2018,98387023.70342414,59087.03195396696,18032.0
MT,2019,98387023.70342432,61069.72236445278,31169.0
PA,2006,195127129.0136173,50068.773335723665,55840.0
PA,2007,188922874.36058167,51732.9798984312,68491.0
PA,2008,195127691.60467434,54351.86036765103,48449.0
PA,2009,201331818.23737624,57253.599059893975,41664.0
PA,2010,201331461.55513367,59981.367314014045,57196.0
PA,2011,195125154.470054,63814.128945581426,26563.0
PA,2012,195126816.6159054,69945.70043085914,37221.0
PA,2013,201332221.34415048,77512.72281045494,24046.0
PA,2014,207851067.2981599,83993.79807267424,35526.0
PA,2015,232225707.2845009,91194.406577679,43164.0
PA,2016,232225450.683317,100488.35313545477,29724.0
PA,2017,238429416.50172326,110818.08639139951,49770.0
PA,2018,238429449.23410687,119629.26710901396,22080.0
PA,2019,238589798.67083603,131549.7662318901,30165.0
RO,2006,38032269.71617688,9143.510570465138,25702.0
RO,2007,38032269.71617693,9330.453876110892,27500.0
RO,2008,38032269.71617668,9716.95178375245,11560.0
RO,2009,41440013.53236926,10148.422224542248,5401.0
RO,2010,41440013.53236923,10512.730859118641,16970.0
RO,2011,41440013.532369055,10912.141031262185,6080.0
RO,2012,41440013.53236944,11151.084459997599,8312.0
RO,2013,41440013.532369256,11516.943485235612,4613.0
RO,2014,41440013.5323692,11641.395475817893,7334.0
RO,2015,41611781.78752391,11878.277657910188,13113.0
RO,2016,41611781.78752404,11982.190329602092,11474.0
RO,2017,41611781.78752382,12243.661223602343,11313.0
RO,2018,41611781.78752397,12481.756997729508,10255.0
RO,2019,41611781.78752374,12818.056036444083,11230.0
RR,2006,29880937.201548606,197.02418417358354,2189.0
RR,2007,29880937.290948838,179.98403558349605,3244.0
RR,2008,29880932.016495727,172.8481108154297,1950.0
RR,2009,29880937.559139196,177.13241538696286,2359.0
RR,2010,29880927.189039715,155.98979462280286,1918.0
RR,2011,29880933.80444914,135.38044891357424,1475.0
RR,2012,29880931.30137676,136.89976745605478,1376.0
RR,2013,29880935.41361852,134.0479699584961,1395.0
RR,2014,29880937.55913859,127.71512558593753,2519.0
RR,2015,29880935.681814834,117.80962448730469,2452.0
RR,2016,29880927.815043427,134.04337358398422,3870.0
RR,2017,29880937.022774927,208.8155579956054,1565.0
RR,2018,29880933.089293003,467.33106730346753,2383.0
RR,2019,29880917.087189198,771.8879254394529,4784.0
TO,2006,28074157.65833283,287.0218005004879,10299.0
TO,2007,28074157.65833285,287.4362475219724,25389.0
TO,2008,28398319.026151612,288.2103800781246,10753.0
TO,2009,28398319.02615155,291.5315051513675,6428.0
TO,2010,28398319.026151568,307.9156123718255,29100.0
TO,2011,28398319.0261516,324.1378522583009,10637.0
TO,2012,28398319.026151624,331.6677286254875,19044.0
TO,2013,28398319.026151616,341.55156913452095,9935.0
TO,2014,28398319.026151683,353.1031527709964,14075.0
TO,2015,28398319.026151717,355.9921615539552,15705.0
TO,2016,28398319.026151758,365.5378536804199,14494.0
TO,2017,28398319.026151795,379.54485919189443,15673.0
TO,2018,28398319.026151832,383.4863643981938,8033.0
TO,2019,28398319.02615181,385.4977355957037,13625.0
